usage,2023-10-28 05:39:00,6,3.16_101.71
usage,2023-10-28 05:40:00,52,3.16_101.71
usage,2023-10-28 05:41:00,4,3.16_101.71
usage,2023-10-28 05:42:00,41,3.16_101.71
usage,2023-10-28 05:43:00,8,3.16_101.71
usage,2023-10-28 05:44:00,37,3.16_101.71
usage,2023-10-28 05:45:00,43,3.16_101.71
usage,2023-10-28 05:46:00,36,3.16_101.71
usage,2023-10-28 05:47:00,49,3.16_101.71
usage,2023-10-28 05:48:00,46,3.16_101.71
usage,2023-10-28 05:49:00,50,3.16_101.71
usage,2023-10-28 05:50:00,17,3.16_101.71
usage,2023-10-28 05:51:00,3,3.16_101.71
usage,2023-10-28 05:52:00,46,3.16_101.71
usage,2023-10-28 05:53:00,32,3.16_101.71
usage,2023-10-28 05:54:00,22,3.16_101.71
usage,2023-10-28 05:55:00,0,3.16_101.71
usage,2023-10-28 05:56:00,23,3.16_101.71
usage,2023-10-28 05:57:00,46,3.16_101.71
usage,2023-10-28 05:58:00,32,3.16_101.71
usage,2023-10-28 05:59:00,31,3.16_101.71
usage,2023-10-28 06:00:00,58,3.16_101.71
usage,2023-10-28 06:01:00,23,3.16_101.71
usage,2023-10-28 06:02:00,3,3.16_101.71
usage,2023-10-28 06:03:00,53,3.16_101.71
usage,2023-10-28 06:04:00,38,3.16_101.71
usage,2023-10-28 06:05:00,16,3.16_101.71
usage,2023-10-28 06:06:00,5,3.16_101.71
usage,2023-10-28 06:07:00,33,3.16_101.71
usage,2023-10-28 06:08:00,7,3.16_101.71
usage,2023-10-28 06:09:00,2,3.16_101.71
usage,2023-10-28 06:10:00,37,3.16_101.71
usage,2023-10-28 06:11:00,10,3.16_101.71
usage,2023-10-28 06:12:00,13,3.16_101.71
usage,2023-10-28 06:13:00,7,3.16_101.71
usage,2023-10-28 06:14:00,2,3.16_101.71
usage,2023-10-28 06:15:00,41,3.16_101.71
usage,2023-10-28 06:16:00,3,3.16_101.71
usage,2023-10-28 06:17:00,54,3.16_101.71
usage,2023-10-28 06:18:00,7,3.16_101.71
usage,2023-10-28 06:19:00,17,3.16_101.71
usage,2023-10-28 06:20:00,31,3.16_101.71
usage,2023-10-28 06:21:00,27,3.16_101.71
usage,2023-10-28 06:22:00,44,3.16_101.71
usage,2023-10-28 06:23:00,54,3.16_101.71
usage,2023-10-28 06:24:00,26,3.16_101.71
usage,2023-10-28 06:25:00,46,3.16_101.71
usage,2023-10-28 06:26:00,43,3.16_101.71
usage,2023-10-28 06:27:00,18,3.16_101.71
usage,2023-10-28 06:28:00,5,3.16_101.71
usage,2023-10-28 06:29:00,8,3.16_101.71
usage,2023-10-28 06:30:00,59,3.16_101.71
usage,2023-10-28 06:31:00,58,3.16_101.71
usage,2023-10-28 06:32:00,27,3.16_101.71
usage,2023-10-28 06:33:00,42,3.16_101.71
usage,2023-10-28 06:34:00,45,3.16_101.71
